,bucket,config,output,domain,horizion,prefix,timestep,ensemble,source,version,startDate,endDate,http_pattern
32,analysis_assim_extend,analysis_assim_extend,channel_rt,conus,28,tm,1,NA,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/analysis_assim_extend/nwm.t{HH}z.analysis_assim_extend.channel_rt{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.tm{forward}.conus.nc"
33,analysis_assim_extend,analysis_assim_extend,land,conus,28,tm,1,NA,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/analysis_assim_extend/nwm.t{HH}z.analysis_assim_extend.land{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.tm{forward}.conus.nc"
34,analysis_assim_extend,analysis_assim_extend,reservoir,conus,28,tm,1,NA,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/analysis_assim_extend/nwm.t{HH}z.analysis_assim_extend.reservoir{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.tm{forward}.conus.nc"
35,analysis_assim_extend,analysis_assim_extend,terrain_rt,conus,28,tm,1,NA,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/analysis_assim_extend/nwm.t{HH}z.analysis_assim_extend.terrain_rt{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.tm{forward}.conus.nc"
36,analysis_assim_extend_no_da,analysis_assim_extend_no_da,channel_rt,conus,28,tm,1,NA,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/analysis_assim_extend_no_da/nwm.t{HH}z.analysis_assim_extend_no_da.channel_rt{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.tm{forward}.conus.nc"
37,analysis_assim_hawaii,analysis_assim,channel_rt,hawaii,12,tm,15,NA,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/analysis_assim_hawaii/nwm.t{HH}z.analysis_assim.channel_rt{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.tm{forward}.hawaii.nc"
38,analysis_assim_hawaii,analysis_assim,land,hawaii,3,tm,100,NA,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/analysis_assim_hawaii/nwm.t{HH}z.analysis_assim.land{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.tm{forward}.hawaii.nc"
39,analysis_assim_hawaii,analysis_assim,reservoir,hawaii,12,tm,15,NA,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/analysis_assim_hawaii/nwm.t{HH}z.analysis_assim.reservoir{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.tm{forward}.hawaii.nc"
40,analysis_assim_hawaii,analysis_assim,terrain_rt,hawaii,12,tm,15,NA,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/analysis_assim_hawaii/nwm.t{HH}z.analysis_assim.terrain_rt{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.tm{forward}.hawaii.nc"
41,analysis_assim_hawaii_no_da,analysis_assim_no_da,channel_rt,hawaii,12,tm,15,NA,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/analysis_assim_hawaii_no_da/nwm.t{HH}z.analysis_assim_no_da.channel_rt{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.tm{forward}.hawaii.nc"
42,analysis_assim_long,analysis_assim_long,channel_rt,conus,12,tm,1,NA,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/analysis_assim_long/nwm.t{HH}z.analysis_assim_long.channel_rt{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.tm{forward}.conus.nc"
43,analysis_assim_long,analysis_assim_long,land,conus,12,tm,1,NA,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/analysis_assim_long/nwm.t{HH}z.analysis_assim_long.land{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.tm{forward}.conus.nc"
44,analysis_assim_long,analysis_assim_long,reservoir,conus,12,tm,1,NA,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/analysis_assim_long/nwm.t{HH}z.analysis_assim_long.reservoir{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.tm{forward}.conus.nc"
45,analysis_assim_long_no_da,analysis_assim_long_no_da,channel_rt,conus,12,tm,1,NA,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/analysis_assim_long_no_da/nwm.t{HH}z.analysis_assim_long_no_da.channel_rt{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.tm{forward}.conus.nc"
46,analysis_assim_no_da,analysis_assim_no_da,channel_rt,conus,3,tm,1,NA,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/analysis_assim_no_da/nwm.t{HH}z.analysis_assim_no_da.channel_rt{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.tm{forward}.conus.nc"
47,analysis_assim_puertorico,analysis_assim,channel_rt,puertorico,3,tm,1,NA,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/analysis_assim_puertorico/nwm.t{HH}z.analysis_assim.channel_rt{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.tm{forward}.puertorico.nc"
48,analysis_assim_puertorico,analysis_assim,land,puertorico,3,tm,1,NA,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/analysis_assim_puertorico/nwm.t{HH}z.analysis_assim.land{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.tm{forward}.puertorico.nc"
49,analysis_assim_puertorico,analysis_assim,reservoir,puertorico,3,tm,1,NA,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/analysis_assim_puertorico/nwm.t{HH}z.analysis_assim.reservoir{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.tm{forward}.puertorico.nc"
50,analysis_assim_puertorico,analysis_assim,terrain_rt,puertorico,3,tm,1,NA,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/analysis_assim_puertorico/nwm.t{HH}z.analysis_assim.terrain_rt{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.tm{forward}.puertorico.nc"
51,analysis_assim_puertorico_no_da,analysis_assim_no_da,channel_rt,puertorico,3,tm,1,NA,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/analysis_assim_puertorico_no_da/nwm.t{HH}z.analysis_assim_no_da.channel_rt{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.tm{forward}.puertorico.nc"
52,forcing_analysis_assim,analysis_assim,forcing,conus,3,tm,1,NA,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/forcing_analysis_assim/nwm.t{HH}z.analysis_assim.forcing{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.tm{forward}.conus.nc"
53,forcing_analysis_assim_extend,analysis_assim_extend,forcing,conus,28,tm,1,NA,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/forcing_analysis_assim_extend/nwm.t{HH}z.analysis_assim_extend.forcing{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.tm{forward}.conus.nc"
54,forcing_analysis_assim_hawaii,analysis_assim,forcing,hawaii,3,tm,1,NA,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/forcing_analysis_assim_hawaii/nwm.t{HH}z.analysis_assim.forcing{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.tm{forward}.hawaii.nc"
55,forcing_analysis_assim_puertorico,analysis_assim,forcing,puertorico,3,tm,1,NA,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/forcing_analysis_assim_puertorico/nwm.t{HH}z.analysis_assim.forcing{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.tm{forward}.puertorico.nc"
56,forcing_medium_range,medium_range,forcing,conus,240,f,1,NA,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/forcing_medium_range/nwm.t{HH}z.medium_range.forcing{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.f{forward}.conus.nc"
57,forcing_short_range,short_range,forcing,conus,18,f,1,NA,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/forcing_short_range/nwm.t{HH}z.short_range.forcing{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.f{forward}.conus.nc"
58,forcing_short_range_hawaii,short_range,forcing,hawaii,48,f,1,NA,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/forcing_short_range_hawaii/nwm.t{HH}z.short_range.forcing{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.f{forward}.hawaii.nc"
59,forcing_short_range_puertorico,short_range,forcing,puertorico,48,f,1,NA,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/forcing_short_range_puertorico/nwm.t{HH}z.short_range.forcing{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.f{forward}.puertorico.nc"
60,long_range_mem1,long_range,channel_rt,conus,120,f,6,1,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/long_range_mem1/nwm.t{HH}z.long_range.channel_rt{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.f{forward}.conus.nc"
61,long_range_mem1,long_range,land,conus,30,f,24,1,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/long_range_mem1/nwm.t{HH}z.long_range.land{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.f{forward}.conus.nc"
62,long_range_mem1,long_range,reservoir,conus,120,f,6,1,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/long_range_mem1/nwm.t{HH}z.long_range.reservoir{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.f{forward}.conus.nc"
63,long_range_mem2,long_range,channel_rt,conus,120,f,6,2,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/long_range_mem2/nwm.t{HH}z.long_range.channel_rt{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.f{forward}.conus.nc"
64,long_range_mem2,long_range,land,conus,30,f,24,2,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/long_range_mem2/nwm.t{HH}z.long_range.land{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.f{forward}.conus.nc"
65,long_range_mem2,long_range,reservoir,conus,120,f,6,2,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/long_range_mem2/nwm.t{HH}z.long_range.reservoir{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.f{forward}.conus.nc"
66,long_range_mem3,long_range,channel_rt,conus,120,f,6,3,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/long_range_mem3/nwm.t{HH}z.long_range.channel_rt{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.f{forward}.conus.nc"
67,long_range_mem3,long_range,land,conus,30,f,24,3,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/long_range_mem3/nwm.t{HH}z.long_range.land{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.f{forward}.conus.nc"
68,long_range_mem3,long_range,reservoir,conus,120,f,6,3,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/long_range_mem3/nwm.t{HH}z.long_range.reservoir{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.f{forward}.conus.nc"
69,long_range_mem4,long_range,channel_rt,conus,120,f,6,4,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/long_range_mem4/nwm.t{HH}z.long_range.channel_rt{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.f{forward}.conus.nc"
70,long_range_mem4,long_range,land,conus,30,f,24,4,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/long_range_mem4/nwm.t{HH}z.long_range.land{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.f{forward}.conus.nc"
71,long_range_mem4,long_range,reservoir,conus,120,f,6,4,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/long_range_mem4/nwm.t{HH}z.long_range.reservoir{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.f{forward}.conus.nc"
72,medium_range_mem1,medium_range,channel_rt,conus,240,f,1,1,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/medium_range_mem1/nwm.t{HH}z.medium_range.channel_rt{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.f{forward}.conus.nc"
73,medium_range_mem1,medium_range,land,conus,80,f,3,1,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/medium_range_mem1/nwm.t{HH}z.medium_range.land{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.f{forward}.conus.nc"
74,medium_range_mem1,medium_range,reservoir,conus,240,f,1,1,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/medium_range_mem1/nwm.t{HH}z.medium_range.reservoir{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.f{forward}.conus.nc"
75,medium_range_mem1,medium_range,terrain_rt,conus,80,f,3,1,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/medium_range_mem1/nwm.t{HH}z.medium_range.terrain_rt{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.f{forward}.conus.nc"
76,medium_range_mem2,medium_range,channel_rt,conus,204,f,1,2,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/medium_range_mem2/nwm.t{HH}z.medium_range.channel_rt{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.f{forward}.conus.nc"
77,medium_range_mem2,medium_range,land,conus,68,f,3,2,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/medium_range_mem2/nwm.t{HH}z.medium_range.land{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.f{forward}.conus.nc"
78,medium_range_mem2,medium_range,reservoir,conus,204,f,1,2,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/medium_range_mem2/nwm.t{HH}z.medium_range.reservoir{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.f{forward}.conus.nc"
79,medium_range_mem2,medium_range,terrain_rt,conus,68,f,3,2,gcp,2.2,6/19/19,..,"https://storage.googleapis.com/national-water-model/nwm.{YYYYDDMM}/medium_range_mem2/nwm.t{HH}z.medium_range.terrain_rt{ifelse(!is.na(ensemble), paste0(""_"", ensemble), """")}.f{forward}.conus.nc"
